IM regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), SU regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), REG regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), time of progression (week), % resistant, 100 g tumor at (week),,
248.5,1.00E-08,870.5,2.00E-08,871,2.00E-08,870.5,4.00E-08,872,4.00E-08,870.5,8.00E-08,873,0,,,
249,0.12119263,550,0.20969471,586.5,4.40E-07,927.5,7.90E-07,929.5,5.80E-07,933.5,1.05E-06,936.5,0,1645,,
248.5,0.1896859,537.5,0.33165624,574,0.33165624,537.5,0.57742755,606,0.22545159,653.5,0.39339417,690,0,979,,
248.5,4.00E-08,883.5,7.00E-08,884,7.00E-08,883.5,1.60E-07,885.5,1.60E-07,883.5,2.80E-07,886.5,0,,,
248.5,0.08633993,559,0.14994587,595.5,0.14994587,559,0.25961057,618.5,0.25961057,559,0.44898918,637.5,0.970973777,904,,
248.5,0.0616021,569,0.10693175,604.5,0.08872009,623.5,0.15401859,659.5,0.06643505,702,0.11525977,739.5,0,1068,,
248.5,0.19768111,536.5,0.34222879,572.5,0.34222879,536.5,0.59786841,594,0.59786841,536.5,1.04531778,614,0.988541963,879.5,,
248.5,4.20E-07,841,7.40E-07,844.5,7.00E-08,876.5,1.30E-07,878.5,,,,,,,,
248.5,0.06441101,567,0.11220981,603.5,0.11220981,567,0.19539189,640,0.08009782,685,0.13888163,721.5,0.008292241,1029,,
248.5,8.00E-08,878,1.40E-07,885.5,9.00E-08,887,1.80E-07,889.5,3.00E-08,891,6.00E-08,891.5,0,,,
248.5,0.0648965,567,0.11273826,603.5,0.11273826,567,0.19702282,624,0.03774808,692,0.06552876,728,0.931558296,1079.5,,
248.5,0.33838855,521,0.59168259,558,0.04641841,650.5,0.08031262,687.5,0.03458558,730,0.06003536,767.5,0,1114,,
248.5,0.38821486,517,0.67721372,554,0.67721372,517,1.18321031,578.5,0.31421395,638,0.54653695,674.5,0,941,,
248.5,0.10104565,554.5,0.17517719,591,0.15293008,607.5,0.26593607,643.5,0.1127963,687.5,0.19596295,724,0,1028.5,,
248.5,0.63530211,503.5,1.10397641,540.5,1.10397641,503.5,1.93214838,562.5,1.93214838,503.5,3.35100386,584,0.995483282,816.5,,
249,0.06128027,569,0.10595122,605.5,0.10595122,569,0.1846464,628.5,0.1846464,569,0.32316576,648,0.974326395,943.5,,
248.5,0.04376409,578,0.07614121,614.5,0.06069771,635,0.10561147,672,0.04416499,716.5,0.07678328,752.5,0,1094,,
248.5,0.12164833,549.5,0.21217478,586,0.04966351,648.5,0.08630986,684,0.08630986,648.5,0.15093482,703,0.93377287,1021.5,,
